Survey ID,NPS,Reason for Rating,CSAT
28887940,7,Not consistent in terms of speed. But somehow its fine...,8
28871879,10,She helped a lot and unlike other operators she handles the inquiry very smoothly. I firgot her name but I think it's Anna. thank you Anna.,10
28891968,10,Mabilis na nasolusyunan ang concern ko naipaliwanag ng ayos ng csr,10
28722729,9,Satisfied with the service,8
28886065,1,Very very poor WIFI services,0
28874272,0,Hindi maalam yung customer service rep. Walang naitulong sa akin,0
28886845,5,Slow service,8
28891790,0,Your customer service is useless you don't care. You payment service is not working today nobody care,2
28892181,10,Affordable and reliable,10
28892587,10,ayos na ayos ang smart,10
28892340,0,Did not help me at all,0
28888289,7,Same question same problem no solution,8
28889479,4,"I've given a low rate just to clarify my point.. that the 36-48 hrs of waiting time for the response of your technical support is too long.. why? because we are paying but there isn't any compensation returned for us subscribers.. I understand that maybe your technicians are occupied yet PLDT is a HUGE company that needs to require more manpower if deemed necessary and it is extremely unfair for US subscribers to be sacrificed at that point because WE ARE PAYING FOR EVERY SINGLE CENT for YOUR SERVICES. It's a fact that you can't control the needs for TECHNICAL SUPPORT, REPAIR or whatsoever BUT you must to do what has to be DONE in LESS THAN 24hrs..",10
28847634,4,maraming naabalang tao sa kakulangan ng aksyon sa serbisyo...,4
28839823,9,So far customer service is helpful but could be improved if they can email to me outright the instruction and renewal form for my postpaid line,10
28891140,0,Because until now we have no internet.,0
28730525,10,they acted fast on my concern for my PLDT landline,10
28702989,10,I've been using smart for a couple of years now and i'm not having any issues when it comes to their promos and coverage.,10
28730803,7,I called number of times before. Seems like they have to encounter irate customers first before they tend to their issues/complaint.,7
28730832,5,kaya 5 ung binigay ko rating dahil habang tumatagal pumapanget ung signal ng ninyo bumabagal n xia at hindi ninyo agad pinapaliwanag mabuti ung inapply namin n promo eh madadagdagan pagdating sa bill may bayad pala ung pangpapakabit kala ko naman free n xia,10
28725776,10,provides help and knowledgeable.,10
28885660,10,The service is good. I hope this time my internet problem can be solved. There is a signal but I can't connect. Why?,10
28731347,5,Connectivity issue,5
28890049,6,so far hindi pa maganda ang aking experience simula ng makabitan ako ng internet,7
28887786,10,"The customer service rep is very warm and attentive, and quickly created a service number so that the issue can be immediately auctioned. In fact the issue was resolved in 3 hours! The technician quickly came to.fix the issue once he got the ref number.",10
28849827,8,Ok naman. Kontak ko naman agad,9
28886606,9,I was expecting more since a repairman already visited and looked up the modem and declared the problem is outside of the house.,9
28890460,10,Maganda po ang approach nila sa mga client,10
28887318,10,your staff alex villanueva addressed my concern  immediately and with ease. He’s   very accommodating and very respectful to clients unlike others who are expecting additional payment for their ( prompt )services… thank u ..,10
28718865,8,8 kc minsan nawawalan ng signal at matagal ang response gaya ngaun until now dipa naayus ung phone ko,8
28885729,0,Sinungaling ang customer service representatives. Poor service. Very expensive.,0
28887083,10,Malinaw ang pag uusap at mabilis,10
28886461,10,The customer service representative is very good on handling and answering my concern. The only problem is the internet service and technicians itself. It takes 3 days for them to touch the issue and guess what it’s 3 days that I don’t have internet connection and it’s not yet solve. Because of this issue I don’t know if I will recommend this ISP even to anyone!,10
28888872,10,Excellent customer service.,10
28885649,3,They respond to the call quickly and i was not in queue for long. But i always experience the same outage over and over,2
28889998,3,"12 days nawalan ng connection tapos ngkaron lng ng saglit nawalan uli , halos every month nawawalan na ng connection",3
28886383,10,"Coming from someone who had no idea in the beginning which led me to this recent call and thanks to the assistance of the previous agents, I could say that the PLDT hotline was confusing at first but I believe their system is organized and there is really a number for your concern. Thumbs up for that PLDT! Please continue your good service.",10
28718254,6,6,6
28886144,0,"Grabeeee...... masyadong napaka poor and service ninyo (PLDT), mag two (2) weeks na hanggang ngayon wala pa din kaming internet connections, palaging pangako na aaction agad, palaging ma restore in 3 days, tapos mag sms na mag congratulate na na restore pero pag mag try ka wala pa din conmection ang internet pati ang telephone line, palagi din namin nirerestart as per intructions, wala pa din. Nag punta na ako sa las pinas PLDT customer care center same pangako and story. PLEASE TELL THE TRUTH KUNG ANO NA ANG NANGYAYARI SA PLDT, 
nauubos na ang pasensya ko..........",2
28888453,7,Pldt hotline now can access easily can talk to customer service agent and answer your concerns however the the issues wasn't resolved in a long term,7
28888351,10,John was helpful,10
28889249,10,Na resulba ang aking mga katanungan at problema sa aking cignal cable.,10
28727895,3,I have reached out to your social media acct for the assistance on Super admin access. but until now it is not yet facilitated. I am not satisfied on how you handle my problem. its been 2 weeks already.,3
28887002,10,Big help to resolve things,9
28886139,10,madali instructions,10
28716194,8,Feautures and offers is not clear as how to redeem,8
28729262,6,"Nasagot naman ang tanong, pero di agad nasolusyunan",7
28888376,2,"Grabe ang experience ko sa aftersales. Halos 1 buwan na simula ng mag down ang linya ko. Until now wala pa din. Nakakahiya irekomenda sa kamag anak ko baka ma experience din nila yung ganito. Nakaka bwisit... hindi pa marunong magbigay ng rebate, dapat matik na sya.",3
28728981,3,Maayos sumagot at magalang Ang customer service nyo,9
28888407,10,good service my problem was solved immediately,10
28888996,2,Lage kaming walang net at Kung magawa almost a week Kung ito ay mablik samantalang di naman NG baba was NG bayad at pag malate k byad putol agad pero pg mg report k ubod ng tagal,2
28887502,10,madali lang sila kausap at mabilis maunawaan yung mga proseso na dapat gawin ☺️,10
28886979,3,mabagal ang serbisyo,2
28890041,10,Very accomodating and straightforward,10
28888724,8,Yung agent na nag alok ng promo ng PLDT di naman inapply sa account namin yung promo,8
28887635,0,Napaka inconsiderate ng PLDT knowing na Govt Office kami disrupted ang travaho namin. Now we have to pay out of our own money just to have Data. Lagi nalang ganyan alam namn ng pldt na pag gobyerno laging late ang payment dapat may leeway kami na govt office. NEVER ko irerecommend ang PLDT WIFI SAKAHIT NA SINO. After namin ma zero magbabago kami ng connection theu converge,1
28888252,2,Not resolving my problems,3
28886841,3,Madalas mawala ang connection,8
28887876,10,Good,10
28882651,1,hindi na reconnect ang wifi,1
28707967,0,The agent i spoke last friday gave me misinfo.,0
28729037,4,Concern is still unresolved. Other networks cannot receive my sms messages.,4
28885235,6,"Though the representative was very helpful, I was not impressed and satisfied at all on how my concern was handled. I don't think you guys need 5 days to approve or reject an application, that is just simply pathetic. In a world we live right now, everyhting is almost digital. Everything should be done in a very timely manner.",6
28884027,10,Able to answer my query,10
28885194,0,My concern is still not resolved up until now.,0
28876947,7,Good enough,7
28865908,10,"Malinaw ang paliwanag ng representative na si Jes. Pero may tumawag sakin ang pangalan ay si Charie, ang sabi may 40gb na issend sa smart number ko til now wala pa din",7
28869696,10,good service,10
28883969,0,i specifically mentioned the agent that i need my service up and running because redirected my services without warning. i was told to wait 1 hour and i had to call again because nothing happened.,1
28716007,10,Gave me answers i needed to hear,10
28867123,2,"Pldt itself sucks!!! The amount should automatically pro rated but until now they have not processed it after i have done my upgrade.Pls don't focus on your CSR survey, it is the company itself and its system/policy that is so terrible.I have been calling for several time and yet my issue is not resolved.I should be compemsated for wasting so much time calling for the adjustment that I am eligible of.I have really regretted doing an upgrade seriously.PLDT is the worst ISP ever!!!!!!!!!",1
28684636,0,"Sobrnag dmaing rason!!
3 ACCOUNT KO LAGI MY SIRA PALITAN MINSAN SABAY SABAY PA

NGAUN MERON AKO ISNG ACCOUNT SA VALENZUELA
GNGMIT SA BUSINESS 
3 WEEKS NG SIRA!!!!

ANG PANGIT NYO KA PARTNER

MALULUGI KMI S INYO!!

NAPAKAHALAGA NG INTERNET SA LINE NG BUSINESS KO

BASURA,AT WALANG PAGBABAGO!!

KAYA PALA MY LOCK IN ACCOUNT KAYO KC PRA KHT BULOK SERVICE NYO OBLIGADO MAGBAYAD HANGGANG S MATAPOS UNG CONTRACT KHT HINDI NAMAN WORTH IT

LAKAS NYONG MANG BULADAS

MAGALING LNG KAYO SA MARKETING

PRO NOTHING CHNGE SISTEMA NYO BULOK!


LAKAS NG LOOB NYO MY PLDT LISTEN PA KYO WALA NAMAN ACTION


BULOKS
UNG PLDT CARES NYO DIN WALA MKAUSAP NA MATINO

PATI MGA NSA FIELD NYO PALPAK AT MGA BURAOT 


SA TATLONG ACCOUNT KO 2 ANG TPOS NA SA CONTRACT 
IPAPA CLOSED KO NA TLGA

ETONG ISA NAMAN BAGO LANG KALA KO MY MAGBABGO SA SERVICE NYO PRO WALA PRIN PLA TLGA

ANG TANGA KO NAKA LOCK IN CONTRACT DIN TO KHT GUSTO KO I TERMINATE BWISIT MGBBYD P AQ SA  INYO KAPAL NG MUKHA NYO

BASURA NAMAN QUALITY SERVICE NYO",0
28726765,5,Mahina ang internet,8
28712065,0,"Manloloko ang technicians niyo at incompetent tech agents niyo, walang access sa kung saang part ng system ng 
PLDT. Tamad pumunta mga technicians. Overall experience. WORST",0
28883880,10,Clear expectations,10
28884843,5,medyo matagal ang response po at saka di pa na fix yung problem ko,5
28880077,10,Very satisfied and good tell to friends about pldt fiber internet connection hi speed 😁,10
28874081,10,"Mabait, knowledgeable and organized agent na aking nakausap.",10
28662412,10,mabilis naayos,10
28883550,10,Good serv8ce,10
28880757,5,Dahil fifty fifty rin ang stability ng internet ko,8
28714484,8,"Ayos lang paghihintay sa chat support. Ang problema Yung internet na madalas Hindi connected. Yung credit na binigay para sa ilang araw na issue 147 lang yun. We still want to use PLDT, of course. Its just that Hindi enough credit for those times na may issue sa internet.",8
28883855,10,Responsive agent,10
28880029,5,"Hindi maasaan ang seebisyo, may schedule ng tecjnician visit di naman dumaring. Ilang araw na busy tone ang telepono at wala internet, may text na fix na ang issue pero wala sira parin ang linya.",5
28883556,10,The csr assisted me well and provided all the information that I need. Excellent.,10
28847564,3,Kasi pag tumatawag ako dami sinasabi pres press matagal bago makausap yong tao,8
28847862,5,3,1
28883725,10,Maayos makipag usap . Maasahan,10
28884048,0,No resolution that works was provided,0
28883875,10,Im satisfied with the service,10
28883678,10,Answered fast,10
28870824,0,Magrerecommend ka ba sa kaibigan or pamilya mo ng isang serbisyo na hindi naman gumagana ng maayos? Di ba hindi? So hinde.,0
28710319,10,Ang babait ng mga pldt crew,10
28722809,10,Maayos ang naging transaction.,9
28725962,8,Did not resolve my concern,8
28708321,10,Shes very accommodating and she exhibits the great qualities of a SMART representative,10
28724105,1,Maraming salamat nasagot ang request ko with in 48 hrs.,1
28872140,5,"5 po kasi minsan nawawala po dito sa amin""minsan naman po ang hina ng net""hindi na po gumagalaw!tapos pag nag hotline po kami sa pldt suwertihan nalang po kung mapapansin po yong reklamo po namin...",10
28882443,10,"Fast, accurate and courteous Chat",10
28726509,7,Maayos at malinaw na pag uusap..,8
28725241,5,sLOw rEsOLUtiOn Of prObLEm,5
28726709,7,Paulit n problema s internet connection,7
28880337,10,quick response,10
28846461,9,OKs  naman .kailangan langg messenger makakareport kn.,9
28848188,10,Stell / Dell assisted all 3 concerns. She was great!,10
28725481,0,"Isang buwan na walang network. Tapos hindi i-rerebate yung 30 days. No way José. Jan 1 to 30 ba naman walang internet. Pag report ng issue, maya maya makkareceive ako ng text na gawa na ang issue. Pero well in fact, hindi naman nagawa. Ano to? Lokohan?",0
28724059,0,Very confusing resolutions. Even in business centers.,0
28726924,1,"The upgrade of my account, has not bern done as of today, January31, 2024, 11:30 A.M. 

I was told by your CSR it will take 24 to 48 Hours for my upgrade to be completed. 

Last Sunday, your CSR by the name of Joy, while I was still talking to her just dropped the call for no reason at all. 

I am very disappointed!",1
28724434,10,still the best ISP in the country,10
28724314,3,Tatlo ang hina ng net minsan,3
28882040,10,Good and responsive si mark,10
28861466,0,"Bastos ang customer srvice, tinatapos agad ang chat ng d pa nasasagot ang problema, lalo yung ngaung araw sobrang bastos nung kurusicchiinu alyas mike na agent nyo pati yung krizxy, lahat ng agent ngaung araw sorang bastos, ala kaming landline ng 4 mos na, alang dialtine, intermet nami 7 days ng wala, bumalik ng isang araw lang nawala na naman, d ma track ang ticket na naisdue kasi nga dat lang ang gamit, pldt please lang palitan nyo ang nasa customer service sobrang nagtatalinuhan ni d marunong makipag usap ng maayos, simong d magagalit pag ganyan ang mga tao nyo, namura ko sila sa sobrang tamad, nung gumagana pa yung landline, imbes na sautin yunv tawag ko nakikipag chismisan sa katabi kaya siguro pimutol nila landline namin kasi ayaw na malaman pinaggagawa nila",0
28724595,8,ok mabait ang operator,9
28756395,10,Mabilis kausap,10
28726750,10,Mabilis at maayos,8
28874114,7,n/a,9
28717740,0,"Paulit ulit lang ng sinasabi, kung hindi pa sasabihin na ipapaputol. Hindi magagawa.
Matagal nawawala yung connection",1
28880781,7,Di gaano mabilis,8
28881997,8,Fast reply sa chat sessions,8
28708768,7,Di po gaano satisfied.,7
28869707,5,mahal na ang load,10
28864824,0,Poor service,0
28840968,9,"Rose, thank you for helping me to submit all the needed requirements for disconnection. I've been with you guys for many years but the longer the years the more disappointment I had with the service. Appreciate you all, guys! ✨",9
28881099,10,The service assistant was very helpful and I have always used pldt.,10
28880705,5,5 dahil napakatagal umaksyon ng team ng pldt.. Almost month n kmi walang internet paano nman pangkabuhayan namin... Nagbabayad kmi ng tama pero kulang sa serbisyo,8
28703030,6,Hanggang ngayon ang naging concern ko sa signal o network coverage no action ilang taon ko na raise no action ang dahilan pa no planning project paano ma resolve yan kong no planning project pala.,5
28880892,1,Internet connection is not reliable. Ridiculous service,2
28881388,8,Madali lang makipag communicate,9
28880432,10,im satisfied to your custumer service because  of the custumers concern responded with no hustle . thankyou and Godbless,10
28881360,1,Di malinaw na sagot. Puropangako,1
28880764,5,Lagi kayo may system issue. Ilang buwan na paulit ulit migrate kayo ng migrate sa min. mismong repairmen niyo na ang nagsabing walang avail na port for dsl . bayad kami ng bayad  ng buo  pero lagi kami may service interruption. Ni hindi pa mayo marunong magnotify  we get it. walang port na avail so pabayaan niyo as is ung connection namin. naapektuhan ung mga naka wfh sa ginagawa niyo,6
28870071,10,Mabilis sila sumagot lalo na sa mga concern namin,10
28880999,9,Mabilis,10
28711553,10,magagaling at mabilis at malinaw mag paliwanag at kausap,10
28862598,8,"The costumer service was accommodating, attentive and fast .",8
28704682,1,ALMOST 1 week nako nag rereklamo na putol ang fibr cable! Wala padin nag aayos pinipilit nyo na power outage! Ayaw niyong makinig sa costumer,0
28881105,5,Urgent response(sms) to our concern but slow action/solution of problem,5
28719960,10,Lahat nman po ng problema na naeencounter ko tungkol sa Pldt services ay madali nmang natutugonan. Atsaka mga minor problems lang naman ang lahat.,10
28881098,5,Mabagal magresolba,4
28879557,2,Rude and no emphaty,2
28710552,10,Sobrang helpful ng customer service representative at naipaliwanag niya saken ang aking mga katanungan.,10
28871421,5,Tumutugon naman po ang costumer hotline pero ang mismong gagawa ng problema sa linya yun po ang matagal,5
28848663,5,Gusto ko sanang makausap ang customer service para nasabi ko,5
28712951,9,Polite agents and provide my needs.,10
28711095,5,Hindi masyado naibibigay ang tamang serbisyo sa amin ng pldt.,5
28715818,10,Maganda ang talk TNT malakas ang signal mura lang ang load pero sana mag unlidata na siya,4
28874400,0,Customer service is not knowledgeable... Internet service keep interrupted... Next month I will move to GLOBE!,0
28717868,5,Mahirap maka get through ng calls sa hotline,7
28712256,4,"The customer service attendant was not very pleasant and she aroused my my irritation instead of providing me assurance and comfort that my concern would be attended to. Furthermore, she assured me of a visit from a technician to come to my unit which I went out of my way to secure a work permit, but, no PLDT Tecnician came. I am highly disappointed.",1
28772817,0,Paulit ulit lang sinasabi i need immediate action 5 days na kami wlaang net,1
28878112,5,one ageny ended up the call abruptly without giving ticket number or resolution. It took time to reply but when i am still typing and took time to reply back they just ended up the call,1
28716302,10,Naibahagi ng Customer Service ng Maayos ang impormasyon na kanyang ibinahagi,10
28712238,8,NA,10
28871896,2,Mahirap mag report especially system generated ang disconnection...mahirap tawagan or reach out ang billing...inde ka kaagad maka usap nang customer service.,0
28700068,2,I had used 200 pesos load just to call the hotline. Since the internet is not working that time. You should have a toll free hotline.,2
28719060,3,mahina lagi at minsan walang internet connection,3
28716045,8,"I give 8 ,although my problem is not address as i wanted it to be yet they still do their best to help me.And anyway when I visit the smart office thinking I am only a prepaid subscriber,when I told them postpaid they entertain me without a doubt.Hope next time they should treat equally either postpaid or prepaid subscriber.But all in all still thankful.",7
28718833,10,good service,10
28704547,10,My inquiries had been answered immediately.,10
28705573,0,sorry diko n matandaan dahil madalang ako tumawag sa hotline,7
28878522,10,"I enjoyed it so far and it has a great signal coverage in my area. The phone reps were also amazing, thanks to Ian, Kurt and Jugo ( I am not sure if I got their names right )",10
28878172,6,"Service request / support mode could be a little challenging especially to those who does not have messenger or device..nevertheless, the agent is very helpful and patient.",9
28878610,10,10/10,10
28878556,10,none,10
